"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","test_part","xClicked","yClicked","responseInd","nameID"
"","null","html-keyboard-response","58","121007","0.0-3.0-0.26","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2141","name-keyboard-response","59","123152","0.0-3.0-1.26","","","Probe","1084","382","3","78"
"","null","html-keyboard-response","60","124153","0.0-3.0-0.27","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1758","name-keyboard-response","61","125919","0.0-3.0-1.27","","","Probe","1100","131","0","58"
"","null","html-keyboard-response","62","126921","0.0-3.0-0.28","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2708","name-keyboard-response","63","129635","0.0-3.0-1.28","","","Probe","1044","453","4","148"
"","null","html-keyboard-response","64","130636","0.0-3.0-0.29","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2424","name-keyboard-response","65","133064","0.0-3.0-1.29","","","Probe","1016","232","1","20"
"","null","html-keyboard-response","66","134066","0.0-3.0-0.30","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3679","name-keyboard-response","67","137757","0.0-3.0-1.30","","","Probe","1048","236","1","177"
"","null","html-keyboard-response","68","138759","0.0-3.0-0.31","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1971","name-keyboard-response","69","140734","0.0-3.0-1.31","","","Probe","1050","297","2","90"
"","null","html-keyboard-response","70","141736","0.0-3.0-0.32","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","6679","name-keyboard-response","71","148423","0.0-3.0-1.32","","","Probe","1070","211","1","27"
"","null","html-keyboard-response","72","149424","0.0-3.0-0.33","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2169","name-keyboard-response","73","151605","0.0-3.0-1.33","","","Probe","1082","542","5","168"
"","null","html-keyboard-response","74","152607","0.0-3.0-0.34","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2084","name-keyboard-response","75","154697","0.0-3.0-1.34","","","Probe","1044","317","2","107"
"","null","html-keyboard-response","76","155699","0.0-3.0-0.35","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1535","name-keyboard-response","77","157237","0.0-3.0-1.35","","","Probe","1068","298","2","110"
"","null","html-keyboard-response","78","158238","0.0-3.0-0.36","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1470","name-keyboard-response","79","159712","0.0-3.0-1.36","","","Probe","1057","306","2","100"
"","null","html-keyboard-response","80","160713","0.0-3.0-0.37","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","12731","name-keyboard-response","81","173458","0.0-3.0-1.37","","","Probe","1054","145","0","30"
"","null","html-keyboard-response","82","174463","0.0-3.0-0.38","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2772","name-keyboard-response","83","177243","0.0-3.0-1.38","","","Probe","1088","560","5","169"
"","null","html-keyboard-response","84","178245","0.0-3.0-0.39","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1676","name-keyboard-response","85","179929","0.0-3.0-1.39","","","Probe","1025","216","1","21"
"","null","html-keyboard-response","86","180930","0.0-3.0-0.40","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1491","name-keyboard-response","87","182426","0.0-3.0-1.40","","","Probe","1037","390","3","79"
"","null","html-keyboard-response","88","183427","0.0-3.0-0.41","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2511","name-keyboard-response","89","185952","0.0-3.0-1.41","","","Probe","1043","624","6","125"
"","null","html-keyboard-response","90","186953","0.0-3.0-0.42","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1506","name-keyboard-response","91","188467","0.0-3.0-1.42","","","Probe","1089","395","3","68"
"","null","html-keyboard-response","92","189469","0.0-3.0-0.43","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1492","name-keyboard-response","93","190964","0.0-3.0-1.43","","","Probe","1058","307","2","109"
"","null","html-keyboard-response","94","191966","0.0-3.0-0.44","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1987","name-keyboard-response","95","193959","0.0-3.0-1.44","","","Probe","1039","608","6","124"
"","null","html-keyboard-response","96","194961","0.0-3.0-0.45","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","4995","name-keyboard-response","97","199971","0.0-3.0-1.45","","","Probe","1057","375","3","88"
"","null","html-keyboard-response","98","200973","0.0-3.0-0.46","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2200","name-keyboard-response","99","203182","0.0-3.0-1.46","","","Probe","1047","614","6","132"
"","null","html-keyboard-response","100","204184","0.0-3.0-0.47","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3719","name-keyboard-response","101","207909","0.0-3.0-1.47","","","Probe","1068","138","0","28"
"","null","html-keyboard-response","102","208911","0.0-3.0-0.48","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2118","name-keyboard-response","103","211036","0.0-3.0-1.48","","","Probe","1051","470","4","141"
"","null","html-keyboard-response","104","212036","0.0-3.0-0.49","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1254","name-keyboard-response","105","213294","0.0-3.0-1.49","","","Probe","1067","295","2","112"
"","null","html-keyboard-response","106","214296","0.0-3.0-0.50","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3311","name-keyboard-response","107","217619","0.0-3.0-1.50","","","Probe","1022","623","6","127"
"","null","html-keyboard-response","108","218621","0.0-3.0-0.51","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2241","name-keyboard-response","109","220869","0.0-3.0-1.51","","","Probe","1048","148","0","41"
"","null","html-keyboard-response","110","221870","0.0-3.0-0.52","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2479","name-keyboard-response","111","224354","0.0-3.0-1.52","","","Probe","1053","309","2","119"
"","null","html-keyboard-response","112","225355","0.0-3.0-0.53","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2262","name-keyboard-response","113","227627","0.0-3.0-1.53","","","Probe","1055","310","2","122"
"","null","html-keyboard-response","114","228629","0.0-3.0-0.54","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1368","name-keyboard-response","115","230000","0.0-3.0-1.54","","","Probe","1058","301","2","113"
"","null","html-keyboard-response","116","231001","0.0-3.0-0.55","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1391","name-keyboard-response","117","232396","0.0-3.0-1.55","","","Probe","1081","144","0","56"
"","null","html-keyboard-response","118","233397","0.0-3.0-0.56","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3074","name-keyboard-response","119","236483","0.0-3.0-1.56","","","Probe","1072","146","0","38"
"","null","html-keyboard-response","120","237484","0.0-3.0-0.57","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1632","name-keyboard-response","121","239125","0.0-3.0-1.57","","","Probe","1040","306","2","117"
"","null","html-keyboard-response","122","240127","0.0-3.0-0.58","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1468","name-keyboard-response","123","241605","0.0-3.0-1.58","","","Probe","1064","145","0","39"
"","null","html-keyboard-response","124","242606","0.0-3.0-0.59","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1621","name-keyboard-response","125","244231","0.0-3.0-1.59","","","Probe","1060","229","1","11"
"","null","html-keyboard-response","126","245233","0.0-3.0-0.60","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1234","name-keyboard-response","127","246474","0.0-3.0-1.60","","","Probe","1073","212","1","6"
"","null","html-keyboard-response","128","247475","0.0-3.0-0.61","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1263","name-keyboard-response","129","248741","0.0-3.0-1.61","","","Probe","1067","220","1","7"
"","null","html-keyboard-response","130","249742","0.0-3.0-0.62","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1426","name-keyboard-response","131","251172","0.0-3.0-1.62","","","Probe","1102","134","0","32"
"","null","html-keyboard-response","132","252173","0.0-3.0-0.63","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1616","name-keyboard-response","133","253793","0.0-3.0-1.63","","","Probe","1091","137","0","52"
"","null","html-keyboard-response","134","254795","0.0-3.0-0.64","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1948","name-keyboard-response","135","256753","0.0-3.0-1.64","","","Probe","1062","470","4","136"
"","null","html-keyboard-response","136","257755","0.0-3.0-0.65","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1986","name-keyboard-response","137","259745","0.0-3.0-1.65","","","Probe","1050","402","3","82"
"","null","html-keyboard-response","138","260746","0.0-3.0-0.66","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3298","name-keyboard-response","139","264055","0.0-3.0-1.66","","","Probe","1040","621","6","137"
"","null","html-keyboard-response","140","265057","0.0-3.0-0.67","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1872","name-keyboard-response","141","266936","0.0-3.0-1.67","","","Probe","1075","216","1","1"
"","null","html-keyboard-response","142","267937","0.0-3.0-0.68","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1890","name-keyboard-response","143","269838","0.0-3.0-1.68","","","Probe","1059","218","1","15"
"","null","html-keyboard-response","144","270839","0.0-3.0-0.69","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1355","name-keyboard-response","145","272197","0.0-3.0-1.69","","","Probe","1086","151","0","45"
"","null","html-keyboard-response","146","273198","0.0-3.0-0.70","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1922","name-keyboard-response","147","275125","0.0-3.0-1.70","","","Probe","1081","398","3","69"
"","null","html-keyboard-response","148","276126","0.0-3.0-0.71","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2682","name-keyboard-response","149","278815","0.0-3.0-1.71","","","Probe","1021","298","2","93"
"","null","html-keyboard-response","150","279816","0.0-3.0-0.72","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1973","name-keyboard-response","151","281801","0.0-3.0-1.72","","","Probe","1078","517","4","166"
"","null","html-keyboard-response","152","282802","0.0-3.0-0.73","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3358","name-keyboard-response","153","286174","0.0-3.0-1.73","","","Probe","1019","468","4","155"
"","null","html-keyboard-response","154","287176","0.0-3.0-0.74","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2793","name-keyboard-response","155","289974","0.0-3.0-1.74","","","Probe","1075","163","0","53"
"","null","html-keyboard-response","156","290976","0.0-3.0-0.75","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1591","name-keyboard-response","157","292573","0.0-3.0-1.75","","","Probe","1065","315","2","118"
"","null","html-keyboard-response","158","293574","0.0-3.0-0.76","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1359","name-keyboard-response","159","294944","0.0-3.0-1.76","","","Probe","1067","300","2","111"
"","null","html-keyboard-response","160","295946","0.0-3.0-0.77","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1324","name-keyboard-response","161","297273","0.0-3.0-1.77","","","Probe","1087","224","1","9"
"","null","html-keyboard-response","162","298274","0.0-3.0-0.78","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1763","name-keyboard-response","163","300042","0.0-3.0-1.78","","","Probe","1055","469","4","154"
"","null","html-keyboard-response","164","301046","0.0-3.0-0.79","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2253","name-keyboard-response","165","303305","0.0-3.0-1.79","","","Probe","1025","388","3","74"
"","null","html-keyboard-response","166","304306","0.0-3.0-0.80","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2964","name-keyboard-response","167","307276","0.0-3.0-1.80","","","Probe","1023","521","5","162"
"","null","html-keyboard-response","168","308277","0.0-3.0-0.81","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1873","name-keyboard-response","169","310155","0.0-3.0-1.81","","","Probe","1048","460","4","149"
"","null","html-keyboard-response","170","311156","0.0-3.0-0.82","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1980","name-keyboard-response","171","313147","0.0-3.0-1.82","","","Probe","1060","297","2","98"
"","null","html-keyboard-response","172","314149","0.0-3.0-0.83","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1755","name-keyboard-response","173","315914","0.0-3.0-1.83","","","Probe","1058","468","4","150"
"","null","html-keyboard-response","174","316915","0.0-3.0-0.84","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2122","name-keyboard-response","175","319042","0.0-3.0-1.84","","","Probe","1092","127","0","48"
"","null","html-keyboard-response","176","320044","0.0-3.0-0.85","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2019","name-keyboard-response","177","322068","0.0-3.0-1.85","","","Probe","1079","223","1","172"
"","null","html-keyboard-response","178","323069","0.0-3.0-0.86","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1672","name-keyboard-response","179","324744","0.0-3.0-1.86","","","Probe","1080","221","1","176"
"","null","html-keyboard-response","180","325746","0.0-3.0-0.87","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3106","name-keyboard-response","181","328864","0.0-3.0-1.87","","","Probe","1040","476","4","161"
"","null","html-keyboard-response","182","329866","0.0-3.0-0.88","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","7970","name-keyboard-response","183","337846","0.0-3.0-1.88","","","Probe","1112","555","5","170"
"","null","html-keyboard-response","184","338847","0.0-3.0-0.89","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2251","name-keyboard-response","185","341104","0.0-3.0-1.89","","","Probe","1067","371","3","84"
"","null","html-keyboard-response","186","342105","0.0-3.0-0.90","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2008","name-keyboard-response","187","344118","0.0-3.0-1.90","","","Probe","1067","240","1","5"
"","null","html-keyboard-response","188","345120","0.0-3.0-0.91","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2024","name-keyboard-response","189","347155","0.0-3.0-1.91","","","Probe","1073","161","0","44"
"","null","html-keyboard-response","190","348157","0.0-3.0-0.92","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1738","name-keyboard-response","191","349899","0.0-3.0-1.92","","","Probe","1044","245","1","173"
"","null","html-keyboard-response","192","350907","0.0-3.0-0.93","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1936","name-keyboard-response","193","352848","0.0-3.0-1.93","","","Probe","1058","398","3","72"
"","null","html-keyboard-response","194","353849","0.0-3.0-0.94","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2323","name-keyboard-response","195","356178","0.0-3.0-1.94","","","Probe","1031","245","1","8"
"","null","html-keyboard-response","196","357180","0.0-3.0-0.95","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3947","name-keyboard-response","197","361139","0.0-3.0-1.95","","","Probe","1023","376","3","85"
"","null","html-keyboard-response","198","362140","0.0-3.0-0.96","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1627","name-keyboard-response","199","363770","0.0-3.0-1.96","","","Probe","1048","129","0","50"
"","null","html-keyboard-response","200","364771","0.0-3.0-0.97","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3056","name-keyboard-response","201","367833","0.0-3.0-1.97","","","Probe","1058","145","0","42"
"","null","html-keyboard-response","202","368841","0.0-3.0-0.98","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2203","name-keyboard-response","203","371049","0.0-3.0-1.98","","","Probe","1049","215","1","26"
"","null","html-keyboard-response","204","372051","0.0-3.0-0.99","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2021","name-keyboard-response","205","374074","0.0-3.0-1.99","","","Probe","1076","160","0","57"
"","null","html-keyboard-response","206","375076","0.0-3.0-0.100","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3956","name-keyboard-response","207","379039","0.0-3.0-1.100","","","Probe","1081","456","4","158"
"","null","html-keyboard-response","208","380042","0.0-3.0-0.101","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2426","name-keyboard-response","209","382487","0.0-3.0-1.101","","","Probe","1022","286","2","114"
"","null","html-keyboard-response","210","383488","0.0-3.0-0.102","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2249","name-keyboard-response","211","385744","0.0-3.0-1.102","","","Probe","1047","384","3","81"
"","null","html-keyboard-response","212","386745","0.0-3.0-0.103","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3278","name-keyboard-response","213","390031","0.0-3.0-1.103","","","Probe","1043","224","1","14"
"","null","html-keyboard-response","214","391038","0.0-3.0-0.104","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1797","name-keyboard-response","215","392840","0.0-3.0-1.104","","","Probe","1052","386","3","71"
"","null","html-keyboard-response","216","393841","0.0-3.0-0.105","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3135","name-keyboard-response","217","396982","0.0-3.0-1.105","","","Probe","1049","162","0","63"
"","null","html-keyboard-response","218","397982","0.0-3.0-0.106","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1502","name-keyboard-response","219","399488","0.0-3.0-1.106","","","Probe","1070","288","2","115"
"","null","html-keyboard-response","220","400489","0.0-3.0-0.107","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2212","name-keyboard-response","221","402706","0.0-3.0-1.107","","","Probe","1071","617","6","126"
"","null","html-keyboard-response","222","403708","0.0-3.0-0.108","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2057","name-keyboard-response","223","405778","0.0-3.0-1.108","","","Probe","1052","378","3","73"
"","null","html-keyboard-response","224","406780","0.0-3.0-0.109","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","9927","name-keyboard-response","225","416718","0.0-3.0-1.109","","","Probe","1105","704","7","171"
"","null","html-keyboard-response","226","417720","0.0-3.0-0.110","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1925","name-keyboard-response","227","419660","0.0-3.0-1.110","","","Probe","1088","459","4","153"
"","null","html-keyboard-response","228","420661","0.0-3.0-0.111","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","5203","name-keyboard-response","229","425874","0.0-3.0-1.111","","","Probe","1041","143","0","34"
"","null","html-keyboard-response","230","426875","0.0-3.0-0.112","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2668","name-keyboard-response","231","429550","0.0-3.0-1.112","","","Probe","1087","605","6","134"
"","null","html-keyboard-response","232","430550","0.0-3.0-0.113","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","4291","name-keyboard-response","233","434851","0.0-3.0-1.113","","","Probe","1116","701","7","164"
"","null","html-keyboard-response","234","435853","0.0-3.0-0.114","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3176","name-keyboard-response","235","439044","0.0-3.0-1.114","","","Probe","1050","124","0","37"
"","null","html-keyboard-response","236","440046","0.0-3.0-0.115","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","6326","name-keyboard-response","237","446382","0.0-3.0-1.115","","","Probe","1063","697","7","163"
"","null","html-keyboard-response","238","447383","0.0-3.0-0.116","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2060","name-keyboard-response","239","449450","0.0-3.0-1.116","","","Probe","1071","389","3","70"
"","null","html-keyboard-response","240","450451","0.0-3.0-0.117","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2300","name-keyboard-response","241","452757","0.0-3.0-1.117","","","Probe","1056","633","6","130"
"","null","html-keyboard-response","242","453758","0.0-3.0-0.118","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1535","name-keyboard-response","243","455306","0.0-3.0-1.118","","","Probe","1041","303","2","120"
"","null","html-keyboard-response","244","456306","0.0-3.0-0.119","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1778","name-keyboard-response","245","458089","0.0-3.0-1.119","","","Probe","1056","152","0","43"
"","null","html-keyboard-response","246","459090","0.0-3.0-0.120","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2210","name-keyboard-response","247","461307","0.0-3.0-1.120","","","Probe","1039","476","4","142"
"","null","html-keyboard-response","248","462308","0.0-3.0-0.121","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1535","name-keyboard-response","249","463848","0.0-3.0-1.121","","","Probe","1017","156","0","51"
"","null","html-keyboard-response","250","464850","0.0-3.0-0.122","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1357","name-keyboard-response","251","466220","0.0-3.0-1.122","","","Probe","1014","300","2","104"
"","null","html-keyboard-response","252","467222","0.0-3.0-0.123","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3428","name-keyboard-response","253","470655","0.0-3.0-1.123","","","Probe","1055","686","7","157"
"","null","html-keyboard-response","254","471657","0.0-3.0-0.124","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2030","name-keyboard-response","255","473693","0.0-3.0-1.124","","","Probe","1043","531","5","160"
"","null","html-keyboard-response","256","474694","0.0-3.0-0.125","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2941","name-keyboard-response","257","477643","0.0-3.0-1.125","","","Probe","1034","206","1","13"
"","null","html-keyboard-response","258","478644","0.0-3.0-0.126","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
