"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"","null","html-keyboard-response","229","1292111","0.0-7.0-3.42","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","10521","continuous_report","230","1302633","0.0-7.0-4.42","","","","79,124,21","-108.9278070030054,74.92131868318239,198.5092303282644","-167.7341135890848,-185.4367709133575,24.373868681029496","Probe","","null","799","466","83,138,108","19","-2","78,138,113","21","2"
"","null","html-keyboard-response","231","1303635","0.0-7.0-0.43","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","232","1303737","0.0-7.0-1.43","","null","","45,167,145","-24.373868681029435,123.13229506513166,-193.18516525781368","-198.5092303282644,157.60215072134437,-51.76380902050407","encoding","","","","","","","","","",""
"","null","html-keyboard-response","233","1304038","0.0-7.0-2.43","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","234","1305239","0.0-7.0-3.43","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3041","continuous_report","235","1308282","0.0-7.0-4.43","","","","45,167,145","-24.373868681029435,123.13229506513166,-193.18516525781368","-198.5092303282644,157.60215072134437,-51.76380902050407","Probe","","null","662","427","183,117,36","159","-8","164,124,43","167","1"
"","null","html-keyboard-response","236","1309282","0.0-7.0-0.44","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","237","1309384","0.0-7.0-1.44","","null","","164,129,112","184.100970690488,100.00000000000003,-186.71608529944032","-78.14622569785493,173.20508075688772,-71.67358990906008","encoding","","","","","","","","","",""
"","null","html-keyboard-response","238","1309685","0.0-7.0-2.44","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","239","1310887","0.0-7.0-3.44","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","11904","continuous_report","240","1322792","0.0-7.0-4.44","","","","164,129,112","184.100970690488,100.00000000000003,-186.71608529944032","-78.14622569785493,173.20508075688772,-71.67358990906008","Probe","","null","622","345","188,115,36","157","-7","171,122,39","164","0"
"","null","html-keyboard-response","241","1323794","0.0-7.0-0.45","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","242","1323896","0.0-7.0-1.45","","null","","0,44,88","90.79809994790932,-87.6742293578155,161.80339887498948","-178.2013048376736,179.75880925983338,117.55705045849463","encoding","","","","","","","","","",""
"","null","html-keyboard-response","243","1324198","0.0-7.0-2.45","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","244","1325399","0.0-7.0-3.45","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2555","continuous_report","245","1327956","0.0-7.0-4.45","","","","0,44,88","90.79809994790932,-87.6742293578155,161.80339887498948","-178.2013048376736,179.75880925983338,117.55705045849463","Probe","","null","881","506","47,132,172","47","3","35,134,167","44","1"
"","null","html-keyboard-response","246","1328958","0.0-7.0-0.46","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","247","1329059","0.0-7.0-1.46","","null","","168,34,91","-181.26155740733,141.42135623730948,-155.42919229139414","-84.52365234813985,-141.42135623730954,125.86407820996754","encoding","","","","","","","","","",""
"","null","html-keyboard-response","248","1329360","0.0-7.0-2.46","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","249","1330562","0.0-7.0-3.46","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","10217","continuous_report","250","1340781","0.0-7.0-4.46","","","","168,34,91","-181.26155740733,141.42135623730948,-155.42919229139414","-84.52365234813985,-141.42135623730954,125.86407820996754","Probe","","null","801","428","70,128,181","53","19","39,137,145","34","1"
"","null","html-keyboard-response","251","1341781","0.0-7.0-0.47","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","252","1341884","0.0-7.0-1.47","","null","","6,105,44","-96.9619240492674,71.67358990905991,-176.58951857178536","174.92394142787916,-186.7160852994404,-93.89431255717817","encoding","","","","","","","","","",""
"","null","html-keyboard-response","253","1342185","0.0-7.0-2.47","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","254","1343387","0.0-7.0-3.47","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3310","continuous_report","255","1346698","0.0-7.0-4.47","","","","6,105,44","-96.9619240492674,71.67358990905991,-176.58951857178536","174.92394142787916,-186.7160852994404,-93.89431255717817","Probe","","null","683","370","221,79,154","95","-10","239,68,130","105","1"
"","null","html-keyboard-response","256","1347700","0.0-7.0-0.48","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","257","1347803","0.0-7.0-1.48","","null","","107,78,35","131.21180579810147,189.1037151198633,10.467191248588788","150.94191604455438,-65.11363089143151,-199.72590695091478","encoding","","","","","","","","","",""
"","null","html-keyboard-response","258","1348104","0.0-7.0-2.48","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","259","1349306","0.0-7.0-3.48","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","9270","continuous_report","260","1358578","0.0-7.0-4.48","","","","107,78,35","131.21180579810147,189.1037151198633,10.467191248588788","150.94191604455438,-65.11363089143151,-199.72590695091478","Probe","","null","757","398","151,109,187","73","-5","170,102,183","78","1"
"","null","html-keyboard-response","261","1359579","0.0-7.0-0.49","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","262","1359682","0.0-7.0-1.49","","null","","174,41,74","-38.16179907530909,163.83040885779835,34.72963553338608","-196.32543668953278,114.71528727020922,196.9615506024416","encoding","","","","","","","","","",""
"","null","html-keyboard-response","263","1359983","0.0-7.0-2.49","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","264","1361185","0.0-7.0-3.49","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2475","continuous_report","265","1363663","0.0-7.0-4.49","","","","174,41,74","-38.16179907530909,163.83040885779835,34.72963553338608","-196.32543668953278,114.71528727020922,196.9615506024416","Probe","","null","947","419","173,121,38","163","-11","146,129,53","174","0"
"","null","html-keyboard-response","266","1364664","0.0-7.0-0.50","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
