"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"[{""page_index"":0,""viewing_time"":79186}]","79188","instructions","0","79188","0.0-0.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3169}]","3169","instructions","1","82357","0.0-1.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","2","83358","0.0-2.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","3","85364","0.0-2.0-1.0","1","null","","45,171,144","148.62896509547886,-24.373868681029435,196.96155060244158","133.82612127177165,-198.5092303282644,-34.72963553338626","encoding","","","","","","","","","",""
"","null","html-keyboard-response","4","85465","0.0-2.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","5","85470","0.0-2.0-3.0","1","null","","45,171,144","148.62896509547886,-24.373868681029435,196.96155060244158","133.82612127177165,-198.5092303282644,-34.72963553338626","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","6","95172","0.0-2.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3708","continuous_report","7","98883","0.0-2.0-5.0","1","","","45,171,144","148.62896509547886,-24.373868681029435,196.96155060244158","133.82612127177165,-198.5092303282644,-34.72963553338626","Probe","","null","720","557","52,138,135","30","-15","39,133,168","45","0"
"[{""page_index"":0,""viewing_time"":2531}]","2531","instructions","8","101415","0.0-3.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","102416","0.0-4.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","10","102517","0.0-4.0-1.0","1","null","","135,156,96","192.25233918766372,-165.80751451100838,96.96192404926744","-55.12747116339995,-111.83858069414934,174.92394142787916","encoding","","","","","","","","","",""
"","null","html-keyboard-response","11","102818","0.0-4.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","12","102821","0.0-4.0-3.0","1","null","","135,156,96","192.25233918766372,-165.80751451100838,96.96192404926744","-55.12747116339995,-111.83858069414934,174.92394142787916","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","13","112523","0.0-4.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2154","continuous_report","14","114679","0.0-4.0-5.0","1","","","135,156,96","192.25233918766372,-165.80751451100838,96.96192404926744","-55.12747116339995,-111.83858069414934,174.92394142787916","Probe","","null","999","550","202,88,168","88","-8","223,77,151","96","2"
"[{""page_index"":0,""viewing_time"":2496}]","2496","instructions","15","117175","0.0-5.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2093}]","2093","instructions","16","119268","0.0-6.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","120268","0.0-7.0-0.0","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","18","120369","0.0-7.0-1.0","1","null","","68,172,18","-193.18516525781368,176.5895185717854,51.76380902050415","-51.76380902050407,93.89431255717817,193.18516525781365","encoding","","","","","","","","","",""
"","null","html-keyboard-response","19","120671","0.0-7.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","20","120674","0.0-7.0-3.0","1","null","","68,172,18","-193.18516525781368,176.5895185717854,51.76380902050415","-51.76380902050407,93.89431255717817,193.18516525781365","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","21","130375","0.0-7.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","14766","continuous_report","22","145143","0.0-7.0-5.0","1","","","68,172,18","-193.18516525781368,176.5895185717854,51.76380902050415","-51.76380902050407,93.89431255717817,193.18516525781365","Probe","","null","832","483","161,125,44","168","-4","151,128,50","172","1"
"","null","html-keyboard-response","23","146145","0.0-7.0-0.1","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","24","146247","0.0-7.0-1.1","2","null","","151,14,71","198.05361374831406,-169.6096192312852,-61.80339887498951","27.834620192013087,105.98385284664099,-190.2113032590307","encoding","","","","","","","","","",""
"","null","html-keyboard-response","25","146549","0.0-7.0-2.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","26","146552","0.0-7.0-3.1","2","null","","151,14,71","198.05361374831406,-169.6096192312852,-61.80339887498951","27.834620192013087,105.98385284664099,-190.2113032590307","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","27","156253","0.0-7.0-4.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","4355","continuous_report","28","160610","0.0-7.0-5.1","2","","","151,14,71","198.05361374831406,-169.6096192312852,-61.80339887498951","27.834620192013087,105.98385284664099,-190.2113032590307","Probe","","null","727","426","94,138,98","15","1","96,137,95","14","1"
"","null","html-keyboard-response","29","161612","0.0-7.0-0.2","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","30","161714","0.0-7.0-1.2","3","null","","32,67,94","189.1037151198633,-199.87816540381914,-10.467191248588724","-65.11363089143151,-6.979899340500179,199.72590695091478","encoding","","","","","","","","","",""
"","null","html-keyboard-response","31","162016","0.0-7.0-2.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","32","162019","0.0-7.0-3.2","3","null","","32,67,94","189.1037151198633,-199.87816540381914,-10.467191248588724","-65.11363089143151,-6.979899340500179,199.72590695091478","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","33","171719","0.0-7.0-4.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","4459","continuous_report","34","176180","0.0-7.0-5.2","3","","","32,67,94","189.1037151198633,-199.87816540381914,-10.467191248588724","-65.11363089143151,-6.979899340500179,199.72590695091478","Probe","","null","941","275","196,91,171","86","-8","218,80,156","94","2"
"","null","html-keyboard-response","35","177182","0.0-7.0-0.3","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","36","177283","0.0-7.0-1.3","4","null","","178,76,126","-123.13229506513164,196.3254366895328,71.67358990906007","-157.6021507213444,38.16179907530896,186.71608529944035","encoding","","","","","","","","","",""
"","null","html-keyboard-response","37","177585","0.0-7.0-2.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","38","177587","0.0-7.0-3.3","4","null","","178,76,126","-123.13229506513164,196.3254366895328,71.67358990906007","-157.6021507213444,38.16179907530896,186.71608529944035","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","39","187290","0.0-7.0-4.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
