"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"[{""page_index"":0,""viewing_time"":35645}]","35646","instructions","0","35646","0.0-0.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1302}]","1302","instructions","1","36949","0.0-1.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","2","37951","0.0-2.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","3","39956","0.0-2.0-1.0","1","null","","4,47,123","167.7341135890848,-150.9419160445544,173.20508075688775","-108.9278070030054,131.21180579810147,99.99999999999999","encoding","","","","","","","","","",""
"","null","html-keyboard-response","4","40058","0.0-2.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","5","40063","0.0-2.0-3.0","1","null","","4,47,123","167.7341135890848,-150.9419160445544,173.20508075688775","-108.9278070030054,131.21180579810147,99.99999999999999","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","6","41764","0.0-2.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","730","continuous_report","7","42496","0.0-2.0-5.0","1","","","4,47,123","167.7341135890848,-150.9419160445544,173.20508075688775","-108.9278070030054,131.21180579810147,99.99999999999999","Probe","","null","926","578","151,109,187","73","-50","245,71,87","123","2"
"[{""page_index"":0,""viewing_time"":1687}]","1687","instructions","8","44183","0.0-3.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","45185","0.0-4.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
