"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"[{""page_index"":0,""viewing_time"":26388}]","26388","instructions","0","26389","0.0-0.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1214}]","1214","instructions","1","27603","0.0-1.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","2","28604","0.0-2.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","3","30607","0.0-2.0-1.0","1","null","","80,155,104","27.834620192013087,-34.72963553338606,-155.42919229139414","-198.05361374831406,196.9615506024416,-125.86407820996752","encoding","","","","","","","","","",""
"","null","html-keyboard-response","4","30707","0.0-2.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","5","30712","0.0-2.0-3.0","1","null","","80,155,104","27.834620192013087,-34.72963553338606,-155.42919229139414","-198.05361374831406,196.9615506024416,-125.86407820996752","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","6","40413","0.0-2.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","8382","continuous_report","7","48798","0.0-2.0-5.0","1","","","80,155,104","27.834620192013087,-34.72963553338606,-155.42919229139414","-198.05361374831406,196.9615506024416,-125.86407820996752","Probe","","null","797","420","239,68,130","105","25","177,100,180","80","0"
"[{""page_index"":0,""viewing_time"":1271}]","1271","instructions","8","50069","0.0-3.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","51071","0.0-4.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","10","51173","0.0-4.0-1.0","1","null","","57,153,3","189.10371511986338,-199.87816540381914,-6.979899340500147","65.11363089143133,6.97989934050014,199.87816540381914","encoding","","","","","","","","","",""
"","null","html-keyboard-response","11","51475","0.0-4.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","12","51478","0.0-4.0-3.0","1","null","","57,153,3","189.10371511986338,-199.87816540381914,-6.979899340500147","65.11363089143133,6.97989934050014,199.87816540381914","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","13","61180","0.0-4.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","746","continuous_report","14","61928","0.0-4.0-5.0","1","","","57,153,3","189.10371511986338,-199.87816540381914,-6.979899340500147","65.11363089143133,6.97989934050014,199.87816540381914","Probe","","null","849","487","36,137,147","35","-22","87,125,185","57","0"
"[{""page_index"":0,""viewing_time"":1427}]","1427","instructions","15","63355","0.0-5.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1248}]","1248","instructions","16","64603","0.0-6.0","","","","","","","","","","","","","","","","",""
