"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"[{""page_index"":0,""viewing_time"":10013}]","10013","instructions","0","10013","0.0-0.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1676}]","1676","instructions","1","11689","0.0-1.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","2","12691","0.0-2.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","3","14695","0.0-2.0-1.0","1","null","","22,139,39","-189.10371511986335,189.1037151198633,81.34732861516012","-65.11363089143136,-65.11363089143151,-182.70909152852016","encoding","","","","","","","","","",""
"","null","html-keyboard-response","4","14796","0.0-2.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","5","15001","0.0-2.0-3.0","1","null","","22,139,39","-189.10371511986335,189.1037151198633,81.34732861516012","-65.11363089143136,-65.11363089143151,-182.70909152852016","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","6","16203","0.0-2.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","5271","continuous_report","7","21477","0.0-2.0-5.0","1","","","22,139,39","-189.10371511986335,189.1037151198633,81.34732861516012","-65.11363089143136,-65.11363089143151,-182.70909152852016","Probe","","null","824","256","58,138,130","28","-111","226,92,56","139","1"
"","null","html-keyboard-response","8","22478","0.0-2.0-0.1","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","9","24480","0.0-2.0-1.1","2","null","","54,171,84","196.96155060244158,-6.979899340500328,141.4213562373095","-34.72963553338626,-199.87816540381914,141.42135623730948","encoding","","","","","","","","","",""
"","null","html-keyboard-response","10","24581","0.0-2.0-2.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","11","24784","0.0-2.0-3.1","2","null","","54,171,84","196.96155060244158,-6.979899340500328,141.4213562373095","-34.72963553338626,-199.87816540381914,141.42135623730948","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","12","25985","0.0-2.0-4.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
