"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"[{""page_index"":0,""viewing_time"":142336}]","142336","instructions","0","142336","0.0-0.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":37529}]","37529","instructions","1","179865","0.0-1.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","2","180867","0.0-2.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","3","182872","0.0-2.0-1.0","1","null","","113,43,130","-78.14622569785472,181.26155740732997,105.98385284664093","184.10097069048808,84.52365234813989,-169.60961923128522","encoding","","","","","","","","","",""
"","null","html-keyboard-response","4","182973","0.0-2.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","5","183179","0.0-2.0-3.0","1","null","","113,43,130","-78.14622569785472,181.26155740732997,105.98385284664093","184.10097069048808,84.52365234813989,-169.60961923128522","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","6","184380","0.0-2.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","6843","continuous_report","7","191228","0.0-2.0-5.0","1","","","113,43,130","-78.14622569785472,181.26155740732997,105.98385284664093","184.10097069048808,84.52365234813989,-169.60961923128522","Probe","","null","446","424","235,84,66","133","3","239,80,72","130","2"
"","null","html-keyboard-response","8","192229","0.0-2.0-0.1","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","9","194232","0.0-2.0-1.1","2","null","","74,170,151","100.00000000000003,198.5092303282644,105.98385284664093","173.20508075688772,24.373868681029496,-169.60961923128522","encoding","","","","","","","","","",""
"","null","html-keyboard-response","10","194334","0.0-2.0-2.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","11","194537","0.0-2.0-3.1","2","null","","74,170,151","100.00000000000003,198.5092303282644,105.98385284664093","173.20508075688772,24.373868681029496,-169.60961923128522","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","12","195738","0.0-2.0-4.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","11081","continuous_report","13","206820","0.0-2.0-5.1","2","","","74,170,151","100.00000000000003,198.5092303282644,105.98385284664093","173.20508075688772,24.373868681029496,-169.60961923128522","Probe","","null","1014","227","206,105,41","149","-21","156,127,47","170","1"
"[{""page_index"":0,""viewing_time"":4184}]","4185","instructions","14","211005","0.0-3.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","212006","0.0-4.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","16","212108","0.0-4.0-1.0","1","null","","119,176,77","179.75880925983344,84.52365234813989,-10.467191248588861","-87.67422935781539,181.26155740732997,-199.72590695091478","encoding","","","","","","","","","",""
"","null","html-keyboard-response","17","212209","0.0-4.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","18","212412","0.0-4.0-3.0","1","null","","119,176,77","179.75880925983344,84.52365234813989,-10.467191248588861","-87.67422935781539,181.26155740732997,-199.72590695091478","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","19","213914","0.0-4.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3693","continuous_report","20","217608","0.0-4.0-5.0","1","","","119,176,77","179.75880925983344,84.52365234813989,-10.467191248588861","-87.67422935781539,181.26155740732997,-199.72590695091478","Probe","","null","1059","396","246,69,94","120","43","166,104,184","77","2"
"","null","html-keyboard-response","21","218610","0.0-4.0-0.1","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","22","218712","0.0-4.0-1.1","2","null","","89,37,148","74.92131868318239,133.82612127177157,-198.05361374831406","185.4367709133575,-148.62896509547895,-27.834620192013105","encoding","","","","","","","","","",""
"","null","html-keyboard-response","23","218814","0.0-4.0-2.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","24","219017","0.0-4.0-3.1","2","null","","89,37,148","74.92131868318239,133.82612127177157,-198.05361374831406","185.4367709133575,-148.62896509547895,-27.834620192013105","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","25","220518","0.0-4.0-4.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2286","continuous_report","26","222806","0.0-4.0-5.1","2","","","89,37,148","74.92131868318239,133.82612127177157,-198.05361374831406","185.4367709133575,-148.62896509547895,-27.834620192013105","Probe","","null","1063","295","106,137,86","10","-27","29,136,152","37","1"
"","null","html-keyboard-response","27","223807","0.0-4.0-0.2","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","28","223908","0.0-4.0-1.2","3","null","","71,55,177","184.100970690488,-143.86796006773025,10.467191248588794","-78.14622569785493,138.93167409179944,199.72590695091478","encoding","","","","","","","","","",""
"","null","html-keyboard-response","29","224010","0.0-4.0-2.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","30","224213","0.0-4.0-3.2","3","null","","71,55,177","184.100970690488,-143.86796006773025,10.467191248588794","-78.14622569785493,138.93167409179944,199.72590695091478","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","31","225714","0.0-4.0-4.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2817","continuous_report","32","228532","0.0-4.0-5.2","3","","","71,55,177","184.100970690488,-143.86796006773025,10.467191248588794","-78.14622569785493,138.93167409179944,199.72590695091478","Probe","","null","625","570","162,105,185","76","5","143,111,188","71","0"
"","null","html-keyboard-response","33","229533","0.0-4.0-0.3","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","34","229636","0.0-4.0-1.3","4","null","","125,63,177","128.55752193730785,-74.92131868318242,-90.79809994790938","-153.20888862379562,185.4367709133575,-178.20130483767355","encoding","","","","","","","","","",""
"","null","html-keyboard-response","35","229737","0.0-4.0-2.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","36","229940","0.0-4.0-3.3","4","null","","125,63,177","128.55752193730785,-74.92131868318242,-90.79809994790938","-153.20888862379562,185.4367709133575,-178.20130483767355","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","37","231442","0.0-4.0-4.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","6471","continuous_report","38","237915","0.0-4.0-5.3","4","","","125,63,177","128.55752193730785,-74.92131868318242,-90.79809994790938","-153.20888862379562,185.4367709133575,-178.20130483767355","Probe","","null","424","533","246,69,91","121","-4","244,74,83","125","0"
"","null","html-keyboard-response","39","238916","0.0-4.0-0.4","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","40","239019","0.0-4.0-1.4","","null","","77,28,140","-141.42135623730954,199.96953903127826,81.34732861516002","-141.42135623730948,-3.49048128745689,182.70909152852016","encoding","","","","","","","","","",""
"","null","html-keyboard-response","41","239119","0.0-4.0-2.4","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","42","239322","0.0-4.0-3.4","","null","","77,28,140","-141.42135623730954,199.96953903127826,81.34732861516002","-141.42135623730948,-3.49048128745689,182.70909152852016","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","43","240823","0.0-4.0-4.4","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","7901","continuous_report","44","248725","0.0-4.0-5.4","","","","77,28,140","-141.42135623730954,199.96953903127826,81.34732861516002","-141.42135623730948,-3.49048128745689,182.70909152852016","Probe","","null","927","143","166,123,41","166","89","166,104,184","77","0"
"","null","html-keyboard-response","45","249726","0.0-4.0-0.5","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","46","249829","0.0-4.0-1.5","","null","","52,117,174","-141.42135623730954,44.990210868772984,-120.36300463040968","-141.42135623730948,194.87401295704706,159.72710200945858","encoding","","","","","","","","","",""
"","null","html-keyboard-response","47","249929","0.0-4.0-2.5","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","48","250131","0.0-4.0-3.5","","null","","52,117,174","-141.42135623730954,44.990210868772984,-120.36300463040968","-141.42135623730948,194.87401295704706,159.72710200945858","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","49","251632","0.0-4.0-4.5","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3538","continuous_report","50","255171","0.0-4.0-5.5","","","","52,117,174","-141.42135623730954,44.990210868772984,-120.36300463040968","-141.42135623730948,194.87401295704706,159.72710200945858","Probe","","null","623","211","246,68,96","119","67","66,129,179","52","0"
"","null","html-keyboard-response","51","256173","0.0-4.0-0.6","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","52","256275","0.0-4.0-1.6","","null","","43,97,130","190.2113032590307,-68.40402866513374,74.92131868318239","-61.803398874989526,187.9385241571817,-185.4367709133575","encoding","","","","","","","","","",""
"","null","html-keyboard-response","53","256376","0.0-4.0-2.6","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","54","256580","0.0-4.0-3.6","","null","","43,97,130","190.2113032590307,-68.40402866513374,74.92131868318239","-61.803398874989526,187.9385241571817,-185.4367709133575","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","55","258081","0.0-4.0-4.6","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","4074","continuous_report","56","262157","0.0-4.0-5.6","","","","43,97,130","190.2113032590307,-68.40402866513374,74.92131868318239","-61.803398874989526,187.9385241571817,-185.4367709133575","Probe","","null","714","542","143,111,188","71","-59","239,80,72","130","2"
"","null","html-keyboard-response","57","263158","0.0-4.0-0.7","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","58","263260","0.0-4.0-1.7","","null","","169,98,141","-51.76380902050413,-27.83462019201307,-194.87401295704706","-193.18516525781365,198.05361374831406,44.99021086877295","encoding","","","","","","","","","",""
"","null","html-keyboard-response","59","263362","0.0-4.0-2.7","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","60","263565","0.0-4.0-3.7","","null","","169,98,141","-51.76380902050413,-27.83462019201307,-194.87401295704706","-193.18516525781365,198.05361374831406,44.99021086877295","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","61","265067","0.0-4.0-4.7","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3344","continuous_report","62","268423","0.0-4.0-5.7","","","","169,98,141","-51.76380902050413,-27.83462019201307,-194.87401295704706","-193.18516525781365,198.05361374831406,44.99021086877295","Probe","","null","553","42","241,77,76","128","-41","159,126,45","169","0"
"","null","html-keyboard-response","63","269424","0.0-4.0-0.8","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","64","269526","0.0-4.0-1.8","","null","","164,103,48","84.52365234813989,-17.43114854953165,-136.39967201249968","181.26155740732997,-199.23893961834912,146.27074032383413","encoding","","","","","","","","","",""
"","null","html-keyboard-response","65","269627","0.0-4.0-2.8","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","66","269830","0.0-4.0-3.8","","null","","164,103,48","84.52365234813989,-17.43114854953165,-136.39967201249968","181.26155740732997,-199.23893961834912,146.27074032383413","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","67","271331","0.0-4.0-4.8","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","5932","continuous_report","68","277266","0.0-4.0-5.8","","","","164,103,48","84.52365234813989,-17.43114854953165,-136.39967201249968","181.26155740732997,-199.23893961834912,146.27074032383413","Probe","","null","802","452","241,77,76","128","25","236,70,135","103","1"
"","null","html-keyboard-response","69","278267","0.0-4.0-0.9","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","70","278383","0.0-4.0-1.9","","null","","96,130,171","191.26095119260714,136.3996720124997,-148.62896509547886","-58.47434094454725,146.2707403238341,-133.82612127177165","encoding","","","","","","","","","",""
"","null","html-keyboard-response","71","278484","0.0-4.0-2.9","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","72","278688","0.0-4.0-3.9","","null","","96,130,171","191.26095119260714,136.3996720124997,-148.62896509547886","-58.47434094454725,146.2707403238341,-133.82612127177165","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","73","280189","0.0-4.0-4.9","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","9832","continuous_report","74","290023","0.0-4.0-5.9","","","","96,130,171","191.26095119260714,136.3996720124997,-148.62896509547886","-58.47434094454725,146.2707403238341,-133.82612127177165","Probe","","null","558","221","75,138,115","22","-149","154,127,48","171","2"
"[{""page_index"":0,""viewing_time"":3419}]","3419","instructions","75","293442","0.0-5.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9584}]","9584","instructions","76","303027","0.0-6.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","77","304028","0.0-7.0-0.0","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","78","304130","0.0-7.0-1.0","1","null","","144,17,54","27.834620192013137,-197.53766811902753,136.3996720124996","198.05361374831406,31.286893008046196,-146.2707403238342","encoding","","","","","","","","","",""
"","null","html-keyboard-response","79","304232","0.0-7.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","80","304435","0.0-7.0-3.0","1","null","","144,17,54","27.834620192013137,-197.53766811902753,136.3996720124996","198.05361374831406,31.286893008046196,-146.2707403238342","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","81","305636","0.0-7.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","4533","continuous_report","82","310171","0.0-7.0-5.0","1","","","144,17,54","27.834620192013137,-197.53766811902753,136.3996720124996","198.05361374831406,31.286893008046196,-146.2707403238342","Probe","","null","864","717","70,128,181","53","-91","217,99,48","144","0"
"","null","html-keyboard-response","83","311172","0.0-7.0-0.1","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","84","311274","0.0-7.0-1.1","2","null","","106,40,172","-44.990210868773055,-198.05361374831406,81.34732861516002","-194.87401295704703,-27.834620192013105,182.70909152852016","encoding","","","","","","","","","",""
"","null","html-keyboard-response","85","311375","0.0-7.0-2.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","86","311578","0.0-7.0-3.1","2","null","","106,40,172","-44.990210868773055,-198.05361374831406,81.34732861516002","-194.87401295704703,-27.834620192013105,182.70909152852016","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","87","312779","0.0-7.0-4.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","5626","continuous_report","88","318406","0.0-7.0-5.1","2","","","106,40,172","-44.990210868773055,-198.05361374831406,81.34732861516002","-194.87401295704703,-27.834620192013105,182.70909152852016","Probe","","null","931","538","36,137,147","35","-5","23,135,159","40","1"
"","null","html-keyboard-response","89","319406","0.0-7.0-0.2","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","90","319507","0.0-7.0-1.2","3","null","","77,19,125","-48.384379119933556,-189.10371511986335,190.2113032590307","194.0591452551993,65.1136308914314,-61.803398874989526","encoding","","","","","","","","","",""
"","null","html-keyboard-response","91","319609","0.0-7.0-2.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","92","319812","0.0-7.0-3.2","3","null","","77,19,125","-48.384379119933556,-189.10371511986335,190.2113032590307","194.0591452551993,65.1136308914314,-61.803398874989526","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","93","321014","0.0-7.0-4.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","8730","continuous_report","94","329746","0.0-7.0-5.2","3","","","77,19,125","-48.384379119933556,-189.10371511986335,190.2113032590307","194.0591452551993,65.1136308914314,-61.803398874989526","Probe","","null","888","570","106,137,86","10","-9","83,138,108","19","1"
"","null","html-keyboard-response","95","330747","0.0-7.0-0.3","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","96","330849","0.0-7.0-1.3","4","null","","109,57,134","196.3254366895328,-185.4367709133575,-146.2707403238341","38.16179907530896,-74.9213186831824,136.3996720124997","encoding","","","","","","","","","",""
"","null","html-keyboard-response","97","330951","0.0-7.0-2.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","98","331154","0.0-7.0-3.3","4","null","","109,57,134","196.3254366895328,-185.4367709133575,-146.2707403238341","38.16179907530896,-74.9213186831824,136.3996720124997","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","99","332366","0.0-7.0-4.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2542","continuous_report","100","334909","0.0-7.0-5.3","4","","","109,57,134","196.3254366895328,-185.4367709133575,-146.2707403238341","38.16179907530896,-74.9213186831824,136.3996720124997","Probe","","null","638","161","47,132,172","47","-62","243,66,120","109","0"
"","null","html-keyboard-response","101","335911","0.0-7.0-0.4","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","102","336013","0.0-7.0-1.4","","null","","16,71,94","105.98385284664099,187.9385241571817,-173.20508075688772","169.6096192312852,-68.40402866513371,-100.00000000000003","encoding","","","","","","","","","",""
"","null","html-keyboard-response","103","336114","0.0-7.0-2.4","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","104","336317","0.0-7.0-3.4","","null","","16,71,94","105.98385284664099,187.9385241571817,-173.20508075688772","169.6096192312852,-68.40402866513371,-100.00000000000003","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","105","337518","0.0-7.0-4.4","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","9035","continuous_report","106","346554","0.0-7.0-5.4","","","","16,71,94","105.98385284664099,187.9385241571817,-173.20508075688772","169.6096192312852,-68.40402866513371,-100.00000000000003","Probe","","null","793","509","170,102,183","78","7","143,111,188","71","1"
"","null","html-keyboard-response","107","347555","0.0-7.0-0.5","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","108","347657","0.0-7.0-1.5","","null","","172,100,18","157.6021507213444,-48.38437911993356,190.2113032590307","123.13229506513164,-194.0591452551993,-61.803398874989526","encoding","","","","","","","","","",""
"","null","html-keyboard-response","109","347758","0.0-7.0-2.5","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","110","347961","0.0-7.0-3.5","","null","","172,100,18","157.6021507213444,-48.38437911993356,190.2113032590307","123.13229506513164,-194.0591452551993,-61.803398874989526","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","111","349163","0.0-7.0-4.5","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","7085","continuous_report","112","356250","0.0-7.0-5.5","","","","172,100,18","157.6021507213444,-48.38437911993356,190.2113032590307","123.13229506513164,-194.0591452551993,-61.803398874989526","Probe","","null","774","629","227,75,147","98","-2","231,73,142","100","1"
